# time, phase, observation, A, B, F
1.546250000000000124e-01 1.217367153266046387e+00 8.152127250387339874e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.546875000000000056e-01 1.276272015520866887e+00 7.687548451205559186e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.547499999999999987e-01 1.335176877775658966e+00 7.196303240547463620e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.548124999999999918e-01 1.394081740030451044e+00 6.680095639793179885e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.548750000000000127e-01 1.452986602285299966e+00 6.140716259352815287e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.549375000000000058e-01 1.511891464540092045e+00 5.580036087435430447e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.549999999999999989e-01 1.570796326794884124e+00 5.000000000000125455e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.550624999999999920e-01 1.629701189049704624e+00 4.402620014411695593e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.551250000000000129e-01 1.688606051304525124e+00 3.789968310196136780e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.551875000000000060e-01 1.747510913559317203e+00 3.164170041105969777e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.552499999999999991e-01 1.806415775814137703e+00 2.527395963429256431e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.553124999999999922e-01 1.865320638068929782e+00 1.881854906116530168e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.553750000000000131e-01 1.924225500323750282e+00 1.229786108837469527e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.554375000000000062e-01 1.983130362578570782e+00 5.734514545541158359e-02 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.554999999999999993e-01 2.042035224833362861e+00 -8.487237645359801963e-03 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.555624999999999925e-01 2.100940087088154939e+00 -7.429018038906709531e-02 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.556250000000000133e-01 2.159844949343003861e+00 -1.398354268683528190e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.556875000000000064e-01 2.218749811597795940e+00 -2.048956150672227583e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.557499999999999996e-01 2.277654673852588019e+00 -2.692450655301550366e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.558124999999999927e-01 2.336559536107408519e+00 -3.326605641941762226e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.558750000000000135e-01 2.395464398362229019e+00 -3.949221366692269863e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.559375000000000067e-01 2.454369260617021098e+00 -4.558138112809092535e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.559999999999999998e-01 2.513274122871841598e+00 -5.151243682287178771e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.560624999999999929e-01 2.572178985126633677e+00 -5.726480722607772966e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.561250000000000138e-01 2.631083847381454177e+00 -6.281853863243218594e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.561875000000000069e-01 2.689988709636274677e+00 -6.815436637155630750e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.562500000000000000e-01 2.748893571891066756e+00 -7.325378163287399325e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.563124999999999931e-01 2.807798434145858835e+00 -7.809909566860161467e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.563750000000000140e-01 2.866703296400707757e+00 -8.267350115211263839e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.564375000000000071e-01 2.925608158655499835e+00 -8.696113047883504699e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.565000000000000002e-01 2.984513020910291914e+00 -9.094711080750146337e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.565624999999999933e-01 3.043417883165112414e+00 -9.461761565074167102e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.566250000000000142e-01 3.102322745419932915e+00 -9.795991283611952261e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.566875000000000073e-01 3.161227607674724993e+00 -1.009624086712376911e+00 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.567500000000000004e-01 3.220132469929545493e+00 -1.036146881597053593e+00 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.568124999999999936e-01 3.279037332184337572e+00 -1.059075511284558013e+00 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.568750000000000144e-01 3.337942194439158072e+00 -1.078330441411295304e+00 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.569375000000000075e-01 3.396847056693978573e+00 -1.093844880867842040e+00 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.570000000000000007e-01 3.455751918948770651e+00 -1.105565013482626924e+00 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.570624999999999938e-01 3.514656781203562730e+00 -1.113450184698376422e+00 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.571250000000000147e-01 3.573561643458411652e+00 -1.117473042593796206e+00 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.571875000000000078e-01 3.632466505713203730e+00 -1.117619632761353676e+00 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.572500000000000009e-01 3.691371367967995809e+00 -1.113889446712067688e+00 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.573124999999999940e-01 3.750276230222816309e+00 -1.106295423639319653e+00 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.573750000000000149e-01 3.809181092477636810e+00 -1.094863905535659043e+00 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.574375000000000080e-01 3.868085954732428888e+00 -1.079634545818238811e+00 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.575000000000000011e-01 3.926990816987249389e+00 -1.060660171779818528e+00 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.575624999999999942e-01 3.985895679242041467e+00 -1.038006601342583934e+00 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.576250000000000151e-01 4.044800541496861968e+00 -1.011752414750204832e+00 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.576875000000000082e-01 4.103705403751682468e+00 -9.819886819903610453e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.577500000000000013e-01 4.162610266006474546e+00 -9.488186468929957762e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.578124999999999944e-01 4.221515128261266625e+00 -9.123573690001868242e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.578750000000000153e-01 4.280419990516115547e+00 -8.727313244499532718e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.579375000000000084e-01 4.339324852770907626e+00 -8.300779672585472113e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
